State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
02,020,AK,Anchorage Borough,"27,351","24,059","30,643",9.6,8.4,10.8,"9,009","7,509","10,509",12.2,10.2,14.2,"4,944","3,786","6,102",9.5,7.3,11.7,"70,524","67,446","73,602",,,,,,
02,050,AK,Bethel Census Area,"3,794","2,876","4,712",22.6,17.1,28.1,"1,842","1,327","2,357",30.2,21.8,38.6,"1,117",750,"1,484",25.9,17.4,34.4,"45,481","42,233","48,729",,,,,,
02,060,AK,Bristol Bay Borough,86,66,106,8.8,6.8,10.8,21,15,27,9.1,6.6,11.6,13,9,17,7.6,5.2,10.0,"62,912","56,830","68,994",,,,,,
02,068,AK,Denali Borough,102,77,127,5.6,4.2,7.0,28,20,36,6.7,4.8,8.6,16,11,21,5.4,3.6,7.2,"61,004","55,062","66,946",,,,,,
02,070,AK,Dillingham Census Area,995,761,"1,229",20.6,15.8,25.4,458,334,582,29.5,21.5,37.5,280,191,369,25.6,17.5,33.7,"46,845","42,826","50,864",,,,,,
02,090,AK,Fairbanks North Star Borough,"8,804","6,935","10,673",9.4,7.4,11.4,"3,087","2,300","3,874",12.5,9.3,15.7,"1,839","1,287","2,391",11.1,7.8,14.4,"60,472","57,410","63,534",,,,,,
02,100,AK,Haines Borough,304,231,377,12.1,9.2,15.0,97,71,123,19.5,14.2,24.8,60,41,79,16.8,11.5,22.1,"46,111","41,701","50,521",,,,,,
02,105,AK,Hoonah-Angoon Census Area,416,320,512,19.4,14.9,23.9,107,77,137,26.4,19.1,33.7,66,45,87,23.4,16.1,30.7,"38,122","34,441","41,803",,,,,,
02,110,AK,Juneau Borough,"2,524","2,000","3,048",8.2,6.5,9.9,723,536,910,10.0,7.4,12.6,399,278,520,7.7,5.4,10.0,"69,844","64,720","74,968",,,,,,
02,122,AK,Kenai Peninsula Borough,"5,798","4,619","6,977",10.7,8.5,12.9,"1,847","1,374","2,320",14.4,10.7,18.1,"1,122",797,"1,447",12.0,8.5,15.5,"57,347","53,030","61,664",,,,,,
02,130,AK,Ketchikan Gateway Borough,"1,335","1,022","1,648",10.0,7.6,12.4,459,335,583,14.8,10.8,18.8,266,183,349,12.2,8.4,16.0,"58,073","53,033","63,113",,,,,,
02,150,AK,Kodiak Island Borough,"1,116",860,"1,372",8.3,6.4,10.2,382,279,485,10.3,7.5,13.1,216,148,284,8.3,5.7,10.9,"59,847","54,597","65,097",,,,,,
02,164,AK,Lake and Peninsula Borough,287,219,355,17.7,13.5,21.9,117,85,149,25.3,18.4,32.2,72,49,95,21.8,14.9,28.7,"39,794","36,052","43,536",,,,,,
02,170,AK,Matanuska-Susitna Borough,"9,618","7,928","11,308",10.9,9.0,12.8,"3,565","2,806","4,324",14.1,11.1,17.1,"2,088","1,558","2,618",11.4,8.5,14.3,"68,670","64,634","72,706",,,,,,
02,180,AK,Nome Census Area,"2,295","1,868","2,722",24.6,20.0,29.2,989,761,"1,217",30.7,23.6,37.8,570,406,734,25.8,18.4,33.2,"43,147","39,271","47,023",,,,,,
02,185,AK,North Slope Borough,"1,074",816,"1,332",11.4,8.7,14.1,294,219,369,13.2,9.8,16.6,164,115,213,11.0,7.7,14.3,"68,744","62,089","75,399",,,,,,
02,188,AK,Northwest Arctic Borough,"1,494","1,177","1,811",20.0,15.8,24.2,572,427,717,21.9,16.3,27.5,327,226,428,18.7,12.9,24.5,"49,466","44,764","54,168",,,,,,
02,195,AK,Petersburg Census Area,406,304,508,10.6,7.9,13.3,135,98,172,15.6,11.3,19.9,79,54,104,12.3,8.5,16.1,"52,294","47,322","57,266",,,,,,
02,198,AK,Prince of Wales-Hyder Census Area,957,743,"1,171",17.2,13.3,21.1,334,246,422,23.9,17.6,30.2,196,136,256,20.1,13.9,26.3,"40,756","37,107","44,405",,,,,,
02,220,AK,Sitka Borough,800,611,989,9.1,6.9,11.3,244,180,308,11.8,8.7,14.9,137,95,179,9.7,6.7,12.7,"58,000","52,447","63,553",,,,,,
02,230,AK,Skagway Municipality,40,30,50,4.2,3.2,5.2,11,8,14,6.8,4.9,8.7,7,5,9,6.1,4.2,8.0,"58,550","52,823","64,277",,,,,,
02,240,AK,Southeast Fairbanks Census Area,938,694,"1,182",13.4,9.9,16.9,393,286,500,21.7,15.8,27.6,233,160,306,17.4,11.9,22.9,"54,508","49,243","59,773",,,,,,
